hidden_size,num_layers,dropout,linear_size,mae_train,mae_val,mape_train,mape_val
8,1,0.0,16,0.3891587322138876,0.3744643385895313,3.3748318652630465,3.5728162778211003
16,2,0.0,2,0.40132335077892467,0.3748685135735379,3.5206144289235666,3.56777799841332
8,1,0.125,16,0.41382121836729796,0.37492174451286403,3.5364253549453353,3.551868277453913
2,2,0.0,8,0.41585320138380716,0.3767351947762376,3.6180372889318106,3.5941192290061674
16,4,0.125,16,0.4156083319681904,0.37733357652828736,3.5876298104542097,3.5875126673303552
2,1,0.0,8,0.38979792061552915,0.37737131990871037,3.415368535287531,3.5909827267665015
16,4,0.0,16,0.3954289215300841,0.3774851388931796,3.462534534714636,3.5874669017265544
4,1,0.0,16,0.40962797817681856,0.3776884270132908,3.514126040268116,3.578675586209489
8,2,0.125,16,0.4064825468949319,0.3781914460342855,3.514906726580848,3.5949233025514578
8,2,0.0,4,0.3910412509880797,0.3782169951192766,3.436689169984975,3.5780990574025293
16,4,0.0,8,0.444542485308228,0.378296641384576,3.915544277815875,3.544955747208103
4,2,0.0,8,0.3759359525341342,0.3789150811178737,3.2698055441083107,3.673884971265844
4,4,0.0,16,0.3782000314089206,0.3790629012743739,3.3064774480074064,3.609349329637156
4,1,0.0,4,0.39012465131033924,0.37919407165251184,3.3908211043463523,3.6268295738536396
8,4,0.0,2,0.4092503414817855,0.37961574744921234,3.5873325311725126,3.592053904450887
8,2,0.0,8,0.38313580722407836,0.37991688079349817,3.3187145207420143,3.6386437975606256
16,1,0.0,8,0.38384384813048267,0.38029193620786805,3.3476408640942124,3.639766437795941
8,2,0.0,2,0.38836052248276737,0.3803876559622748,3.381252550724641,3.6359475653553424
2,2,0.0,4,0.41876494463241043,0.3808874589245477,3.5758415917744473,3.613765990016053
2,1,0.0,4,0.3811218551933906,0.3809011783223894,3.3310995788745954,3.6622722822488676
16,2,0.0,16,0.39499612918998656,0.38098688540071834,3.45274375760423,3.6401914331667067
16,2,0.125,16,0.3765731705518929,0.38158638744704804,3.275093709768195,3.6884360062256003
8,2,0.0,16,0.4139102443848813,0.38185473411410076,3.5668792030666054,3.644257539330007
8,4,0.0,4,0.4380924081938137,0.38203324453439474,3.8637558493302633,3.625654636680086
4,2,0.0,4,0.3955448914824097,0.3825228301305756,3.4464833102100854,3.6374516928864287
16,4,0.25,16,0.3964458537478897,0.382649563773367,3.4361376581957734,3.663900076953404
8,2,0.125,8,0.396780632294631,0.3828759081343442,3.403082014765504,3.6414429737385943
8,4,0.0,8,0.38767368216551545,0.3829939650897656,3.393799869897802,3.67402682020212
16,1,0.0,4,0.40011845220932757,0.38333233297615815,3.442634360451173,3.659187701146375
2,1,0.0,16,0.38149493570315574,0.38360956114964073,3.3250782785577893,3.6946914018485675
16,4,0.0,2,0.3779743502594152,0.38362175724420844,3.3038584247035314,3.71037924484301
16,1,0.125,16,0.3866654740996553,0.3837064908554457,3.3866678093863833,3.7006770851593473
16,1,0.0,16,0.3975743454377251,0.3837147772223595,3.4160620445633447,3.6779185881459933
8,2,0.25,16,0.4087223117859514,0.3838319694724018,3.520033279764971,3.6738895439499752
2,4,0.0,16,0.3994881889623644,0.38398982213707106,3.4741331271705085,3.6570500956818446
16,1,0.0,2,0.38278551465437977,0.38426441650523085,3.330837323003644,3.669107877425566
16,1,0.25,16,0.3994132215960278,0.3845018600936163,3.43303677863098,3.7039000357291485
4,1,0.125,16,0.4138697445360478,0.38488728386966914,3.513775663379691,3.6640805149929094
4,4,0.125,16,0.38482616746461545,0.3849008586001178,3.3225065096740636,3.7122159285799032
8,4,0.125,16,0.4060021483990592,0.38506764460140797,3.550895707393566,3.6782861852940947
16,2,0.0,4,0.38310429183895983,0.3855787364756246,3.3353017561088776,3.7161974445667405
16,4,0.0,4,0.4152825786882538,0.38561401846036936,3.6355258418593888,3.6569319161541447
8,4,0.0,16,0.37956415286245726,0.3871342420894591,3.327075781725893,3.7114652393175738
8,1,0.0,4,0.3802300739942727,0.3876645031922503,3.311393921611901,3.7172476959557983
8,1,0.0,8,0.38330592394346513,0.3880008312410564,3.3217437318889385,3.7179206731996666
4,1,0.0,2,0.39714975302426947,0.38809193000549835,3.413366936369238,3.7052890823735734
16,2,0.25,16,0.3909388768433487,0.388317288663615,3.3551953373521632,3.7437230440768032
2,2,0.0,2,0.4099036202221366,0.3896905290882535,3.472521597142933,3.7456847691695483
4,2,0.0,16,0.3935892423005495,0.3898585642431682,3.43454788943759,3.750998031220375
2,2,0.0,16,0.41805086636832717,0.39106350873626083,3.62044563187723,3.7606516916885493
16,2,0.0,8,0.4033904036101037,0.39108847827178367,3.501643894135137,3.7265089650304364
2,4,0.0,4,0.38471108572946483,0.3911305610935001,3.3691373948154895,3.7622328193842463
16,2,0.125,8,0.3917913356108399,0.391163568139213,3.356647404779281,3.7862442998280685
4,4,0.0,8,0.40968732408282793,0.39125500665925483,3.591996722062872,3.748469064042903
4,1,0.0,8,0.38448616527038526,0.391527450097342,3.32861737542362,3.7877154295315645
2,4,0.0,8,0.40206888431070004,0.39167091074447613,3.5186534214261767,3.7798137123174844
4,4,0.0,4,0.36983735229480613,0.39186565470067564,3.2231077056102535,3.820682627307589
4,2,0.0,2,0.505349966552778,0.39242210931406546,4.073003962319418,3.7825089147929702
2,1,0.0,2,0.4124890065464272,0.3928476322695665,3.472824260664522,3.8263729584926747
8,1,0.25,16,0.39093831049548944,0.39320377932684725,3.3964471977401245,3.8595320536646476
16,4,0.125,8,0.3796096727255154,0.39361606029128365,3.2744823978058712,3.820772065885267
8,4,0.25,16,0.40905985538717027,0.3942094230545958,3.490080043012064,3.7878459602967984
8,1,0.125,8,0.3772052801324192,0.39513494796557536,3.265532897874707,3.8634486567896524
16,4,0.125,4,0.40124770778475993,0.39709848992851887,3.4542281721126002,3.8797599970391596
16,2,0.25,8,0.4017703325922256,0.39973296373056705,3.4572968709765863,3.9250081131667263
8,4,0.125,8,0.3882036820647858,0.40101323294248514,3.324480802110108,3.9360501843992517
4,1,0.125,8,0.39839127628193194,0.40245240178031755,3.4450409760054708,3.988551901923969
4,4,0.125,8,0.4029735769289318,0.40351665824334676,3.4945400696981106,3.9881543922205016
16,1,0.125,8,0.3846900845581257,0.40828869877376833,3.347578267724027,4.052951085439881
16,2,0.125,4,0.3947442538453771,0.4094243934702315,3.409169245973825,4.05893617034689
4,1,0.25,16,0.42612219972855275,0.41079805740737657,3.6066560006598376,4.022243607338793
4,2,0.125,8,0.38109278164684407,0.41138933118301724,3.3486858190374016,4.105126809656912
8,1,0.125,4,0.3869245432105965,0.4127032566560864,3.4153223247307953,4.123229191426701
8,2,0.25,8,0.4278340033023054,0.4130452157461211,3.6008061365902573,4.005267185297346
8,4,0.125,4,0.39616402588881877,0.41472657651606765,3.390998504504312,4.11938060873415
8,2,0.125,4,0.41175320531041126,0.4175727648534457,3.5356494504951907,4.135854641799488
16,4,0.125,2,0.4176590336839187,0.41862780231572877,3.542404519977337,4.113258837235451
4,1,0.125,4,0.4216967584553034,0.4196008345886242,3.6704159050455227,4.240218613582324
4,2,0.25,8,0.4151635991291536,0.4220985924964543,3.533739331157033,4.143483423227183
4,4,0.25,16,0.39213970199506987,0.422734478914177,3.4213395092697003,4.263199884732064
8,1,0.25,8,0.397445651386761,0.4240858026519279,3.5005333098068334,4.303101819846796
2,4,0.0,2,0.3855946959874432,0.42831931190820327,3.4083148668199024,4.362467112766588
4,2,0.125,16,0.3947031540381781,0.429105777889303,3.4771363135159126,4.37978025694575
8,1,0.0,2,0.3949077562091038,0.4296162660098643,3.4674816680667333,4.371632449230607
8,4,0.25,8,0.3946552139357641,0.4323734749222744,3.4489295001501636,4.4036009072915965
16,4,0.25,8,0.3963898059931813,0.4324552402678999,3.4646994355787166,4.375956689650817
4,4,0.25,8,0.46066681280234256,0.4350490378748107,3.8917183191730427,4.318322207123413
4,1,0.25,8,0.45265648285870774,0.43521277539862246,3.8017534254493968,4.299352428475382
4,4,0.0,2,0.3837794961380249,0.43586017959163215,3.389731173676248,4.496706943669124
2,2,0.125,8,0.41424941298494544,0.43593452828861573,3.5642649453846094,4.308425188686321
2,1,0.125,16,0.41183265291257926,0.43638549403937543,3.6173337022626346,4.413022113264308
2,2,0.125,16,0.4326256402731535,0.4374540029975917,3.640461940877558,4.212360269626411
16,2,0.125,2,0.4245541593941741,0.439544512721999,3.647659706019841,4.3540524558984215
