Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-23 00:00:00+02:00,6.557207861861796,6.727562498366125,6.531222074762399,6.710238456726074,6856282,0.0,0.0
2000-08-24 00:00:00+02:00,6.655381771797739,6.785313527723655,6.383969627208371,6.409955978393555,6126452,0.0,0.0
2000-08-25 00:00:00+02:00,6.352205497248537,6.438826261013372,6.268471614983996,6.363755226135254,4117859,0.0,0.0
2000-08-28 00:00:00+02:00,6.363756283987206,6.4532644948527365,6.3550939858822275,6.433053016662598,1472493,0.0,0.0
2000-08-29 00:00:00+02:00,6.438827515300644,6.450377246437255,6.3522067346620315,6.430165767669678,3339975,0.0,0.0
2000-08-30 00:00:00+02:00,6.3810812301407855,6.493688367792179,6.3810812301407855,6.473476886749268,2833791,0.0,0.0
2000-08-31 00:00:00+02:00,6.459038109133488,6.5254473962436705,6.392628271301934,6.438826084136963,3977293,0.0,0.0
2000-09-01 00:00:00+02:00,6.435941013743115,6.5658721923828125,6.383968321998625,6.5658721923828125,2631640,0.0,0.0
2000-09-04 00:00:00+02:00,6.5687594079108615,6.594745752922955,6.482138625018222,6.545660495758057,1962165,0.0,0.0
2000-09-05 00:00:00+02:00,6.565869889798714,6.646716332018283,6.499460607290496,6.612067699432373,5367133,0.0,0.0
2000-09-06 00:00:00+02:00,6.612069627383647,6.857495906824835,6.568759237063789,6.7535505294799805,5714626,0.0,0.0
2000-09-07 00:00:00+02:00,6.785310965066515,6.93256671592687,6.756437191241094,6.796860694885254,7125448,0.0,0.0
2000-09-08 00:00:00+02:00,6.7275647844145094,6.785312343799291,6.499463081359862,6.499463081359863,4976062,0.0,0.0
2000-09-11 00:00:00+02:00,6.525448066273099,6.640942610219589,6.482137681133343,6.6091814041137695,7789248,0.0,0.0
2000-09-12 00:00:00+02:00,6.698690891265869,6.744888713904546,6.640943337606781,6.698690891265869,6155272,0.0,0.0
2000-09-13 00:00:00+02:00,6.646714051382717,6.698686707067941,6.476359480290547,6.4821343421936035,6859163,0.0,0.0
2000-09-14 00:00:00+02:00,6.493687497140506,6.496574929862579,6.26269838658954,6.337769985198975,10325120,0.0,0.0
2000-09-15 00:00:00+02:00,6.381080619314101,6.447489922304246,6.29445928649428,6.4446024894714355,6953386,0.0,0.0
2000-09-18 00:00:00+02:00,6.438828015468047,6.612070140924192,6.311784267425537,6.311784267425537,5308692,0.0,0.0
2000-09-19 00:00:00+02:00,6.352206453158268,6.375305363686349,6.256923378389753,6.308896064758301,3721522,0.0,0.0
2000-09-20 00:00:00+02:00,6.3377678286635515,6.404177106509861,6.28002029531467,6.366641044616699,4503511,0.0,0.0
2000-09-21 00:00:00+02:00,6.349319020502074,6.3897419762458485,6.245373647764978,6.308896064758301,4299963,0.0,0.0
2000-09-22 00:00:00+02:00,6.239597280449105,6.2771327911881185,6.152975981424686,6.225160121917725,958862,0.0,0.0
2000-09-25 00:00:00+02:00,6.193401336669922,6.222274560970995,6.112554876751142,6.193401336669922,4200541,0.0,0.0
2000-09-26 00:00:00+02:00,6.1269900349564805,6.190512435076353,6.121215721899392,6.178962707519531,2448176,0.0,0.0
2000-09-27 00:00:00+02:00,6.135652869216033,6.167414072063989,6.049032107821531,6.106779098510742,4595388,0.0,0.0
2000-09-28 00:00:00+02:00,6.135653023356568,6.2136120410029365,6.0576940057102,6.1905131340026855,6491049,0.0,0.0
2000-09-29 00:00:00+02:00,6.207836972923426,6.2193867014053525,6.011495994501592,6.020158290863037,5048900,0.0,0.0
2000-10-02 00:00:00+02:00,6.020158737147857,6.236711205745108,6.020158737147857,6.170301914215088,3818533,0.0,0.0
2000-10-03 00:00:00+02:00,6.173188152950351,6.33488104251696,6.150089247401028,6.291570663452148,3373251,0.0,0.0
2000-10-04 00:00:00+02:00,6.268473474346023,6.372418862273337,6.222275646538672,6.285798072814941,3756768,0.0,0.0
2000-10-05 00:00:00+02:00,6.297345106993852,6.308894835367974,6.155864238739015,6.155864238739014,3074157,0.0,0.0
2000-10-06 00:00:00+02:00,6.164528581853194,6.42439149861933,6.164528581853194,6.3810811042785645,6726813,0.0,0.0
2000-10-09 00:00:00+02:00,6.424390244732783,6.433052542198881,6.245373285483471,6.268472194671631,3395859,0.0,0.0
2000-10-10 00:00:00+02:00,6.352205398400311,6.476362228393555,6.3088950171918565,6.476362228393555,5319331,0.0,0.0
2000-10-11 00:00:00+02:00,6.467700293242615,6.470587725580696,6.3464308886502545,6.352205753326416,5561650,0.0,0.0
2000-10-12 00:00:00+02:00,6.687142372131348,6.687142372131348,6.687142372131348,6.687142372131348,0,0.0,0.0
