Date,Spread_petroleo,Repsol,IBEX_35,Petroleo,Spread_ibex_35,EMA_semana_repsol
2000-09-21,1.2097508720535997,0.7671655596410136,0.4868929941893498,-0.6376679062416523,0.6912441071707787,0.8118036653815098
2000-09-22,1.193763013957086,0.6941755030370533,0.5941964748767482,-0.7644042573021375,0.4343987312383504,0.7734163882668479
2000-09-25,1.1996408381493666,0.6664075467203291,0.6557764431323053,-0.8352342712907854,0.3108674935181889,0.7385312502983722
2000-09-26,1.197520771376933,0.6537136238326838,0.5593463978949907,-0.8585241629360708,0.4093469739249004,0.7110259797020768
2000-09-27,1.1262815252854637,0.5906406944846959,0.5601058830882548,-0.859460302829925,0.30178271347305713,0.671579338883115
2000-09-28,1.2478152688417836,0.6636307510886569,0.591204900721107,-0.9322973874887611,0.38648617815762576,0.6697105220533459
2000-09-29,1.0643105790915435,0.515270527339302,0.556497632920989,-0.9043671599656542,0.17886346891631894,0.6188101607436766
2000-10-02,1.1590322267621742,0.6461766071181444,0.6526429871273731,-0.8019559490832718,0.28056606634358483,0.6286893660282507
2000-10-03,1.2797363218012,0.7520915262119348,0.7090011469296088,-0.8024183776598264,0.38950956663178976,0.670724024472824
2000-10-04,1.2937405366299035,0.7469346200388288,0.6558714946980069,-0.8399885930377526,0.4468737036233459,0.69702117212259
2000-10-05,1.1875330112157214,0.633482684230499,0.6929054393600294,-0.8831458569840133,0.20903049605896445,0.6765815283302159
2000-10-06,1.4030070855660801,0.8302384889890015,0.6514560017215391,-0.8674498592244482,0.5931839734431971,0.728807034370289
2000-10-09,1.2537276329547888,0.73186058660975,0.5037004293362555,-0.7967465953946912,0.6106592275802472,0.7306980707795091
2000-10-10,1.418924006952596,0.9131456728489349,0.5568300815678573,-0.7192522979873378,0.8510253777684793,0.7926328230141314
2000-10-11,1.2857539784589196,0.8048506432137109,0.3991984196730951,-0.70033692188999,0.8640201969284697,0.7976775402582776
2000-10-13,0.7880420932175882,0.4395036751036688,0.2884290343338961,-0.5449185402366129,0.38420348763104967,0.6787632005082211
2000-10-16,0.8797721629833667,0.46449483578872075,0.3215695741315481,-0.6646238423374867,0.3852295441187722,0.607851231911015
2000-10-17,0.7767327282407357,0.3637368228680362,0.2836810927105599,-0.6864728904693255,0.26203120193710266,0.5268540225713042
2000-10-18,0.666845955670078,0.3058207996931542,0.1320794094106695,-0.60324154260307,0.3526876606398695,0.45347204723668094
2000-10-19,0.6754762356037706,0.28836665572264236,0.27983498179595306,-0.6570959283581617,0.1394078032224187,0.39870902641479616
2000-10-20,0.7236959954677906,0.3764307457556816,0.3160616836487736,-0.5588887201735927,0.24321499069998082,0.391674397524469
2000-10-23,0.7325078371300497,0.374050635214248,0.26207795832438013,-0.5806692565640396,0.3063353505437567,0.38618804894017167
2000-10-24,0.6631077163249556,0.3006638935200483,0.4220835910308105,-0.6072631026057793,-0.016730339179197282,0.35796877350264356
2000-10-25,0.6537738601444312,0.29074676626407525,0.35110186376193414,-0.6109410820935605,0.054791042281929964,0.33583677324951733
2000-10-26,0.683327443327019,0.3387456621829843,0.2596089359470105,-0.5635999760907526,0.2497260948082136,0.3371467922274741
2000-10-27,0.7537882968533507,0.35381969561206317,0.29331932147269757,-0.6644150561514239,0.233279297262998,0.3430652461541685
2000-10-30,0.5093695041861794,0.14198985742448175,0.25134733205593585,-0.6577975440958663,-0.07259790837664264,0.27611383892891905
2000-10-31,0.34058167005686024,-0.02184108484418998,0.27784075358091703,-0.6909652035661566,-0.3824926417381592,0.17664721008241363
2000-11-02,0.3411154837093178,-0.039295228814702474,0.3461638190071948,-0.72951023277085,-0.4969761354404651,0.1044944202526076
2000-11-03,0.35115864333331953,-0.03691511827326889,0.3631140633357399,-0.7433820325259397,-0.5140350854386218,0.05718915635681589
2000-11-06,0.4351052199762306,0.05154565685000898,0.3953050148087246,-0.7118764691026059,-0.4045377587945693,0.055259131415675435
2000-11-07,0.43138716551321515,0.0666196902790879,0.3777849247521443,-0.6724289566344662,-0.35726524427605116,0.059017556062971675
2000-11-08,0.38019231187391667,0.023777700533284745,0.3373328330542591,-0.6677591760401805,-0.3793727240753682,0.047184444661077324
2000-11-09,0.3653499345938473,0.018620794360178876,0.23529938210229426,-0.6507842666047478,-0.26118314331527137,0.037569745746532025
2000-11-10,0.2426479578052889,-0.07698031238739976,0.09879652409755232,-0.624363944216363,-0.25300981599833355,-0.0008366591581229043
2000-11-13,0.3318996520393388,0.013463888187073008,0.05668218916532529,-0.5986242471957584,-0.04774042857411682,0.0038297185537825664
2000-11-14,0.3716465049141334,0.0638428946474156,0.23591652178009312,-0.5654387794123931,-0.18550646482694041,0.023801918832506565
2000-11-15,0.41241571394107124,0.12453571345396995,0.24507995637989718,-0.5120062918328105,-0.09430749085616737,0.057429916782341286
2000-11-16,0.4240924504808117,0.12453571345396995,0.16968273613455298,-0.534085470183281,-0.0005301259001007393,0.07984858208223133
2000-11-17,0.2859593390273363,0.023777700533284745,0.03227804742108165,-0.4895769753119534,4.754991919755728e-05,0.061071795340584004
2000-11-20,0.2625186654241595,-0.01152727249797824,-0.10883087035770539,-0.5211781320836597,0.115875474576024,0.03673776365008935
2000-11-21,0.39857178874960986,0.1169986967394305,-0.08732278753722718,-0.5020378231891763,0.3063868474192169,0.06353125935670106
2000-11-22,0.4165271450583782,0.13960974688304886,-0.2494649939741588,-0.4873633104022611,0.5462778045800974,0.0889612517398613
2000-11-27,0.380001530313663,0.09676775713724571,-0.11205937792833918,-0.5104311378902386,0.30295491239479416,0.09157585216187629
